apparition de l’inflorescence	http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH5	stade principal BBCH 5
stade principal BBCH 6	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH6	stade principal BBCH 6
BBCH 6	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH6	stade principal BBCH 6
floraison 	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH6	stade principal BBCH 6
stade principal BBCH 6	http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH6	stade principal BBCH 6
BBCH 6	http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH6	stade principal BBCH 6
floraison 	http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH6	stade principal BBCH 6
stade principal BBCH 7	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH7	stade principal BBCH 7
BBCH 7	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH7	stade principal BBCH 7
développement des fruits 	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH7	stade principal BBCH 7
stade principal BBCH 7	http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH7	stade principal BBCH 7
BBCH 7	http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH7	stade principal BBCH 7
développement des fruits 	http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH7	stade principal BBCH 7
stade principal BBCH 8	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH8	stade principal BBCH 8
BBCH 8	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH8	stade principal BBCH 8
maturation des fruits ou graines	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH8	stade principal BBCH 8
stade principal BBCH 8	http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH8	stade principal BBCH 8
BBCH 8	http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH8	stade principal BBCH 8
maturation des fruits ou graines	http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH8	stade principal BBCH 8
stade principal BBCH 9	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH9	stade principal BBCH 9
BBCH 9	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH9	stade principal BBCH 9
début de la période de dormance	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH9	stade principal BBCH 9
sénescence et mort 	http://ontology.inrae.fr/ppdo/ontology/bbch_generalScale_principalStage_BBCH9	stade principal BBCH 9
